"АО ""КАБ ""Викинг""";5162552;44190;5524988;2;01.10.2019
"АО ""КБ ДельтаКредит""";87908985;945745;89408411;3338;01.10.2019
"АО ""КОММЕРЦБАНК (ЕВРАЗИЯ)""";118613793;1343490;122403850;3333;01.10.2019
"АО ""КОШЕЛЕВ-БАНК""";13276930;125410;13969119;3300;01.10.2019
"АО ""Кемсоцинбанк""";4807090;0;5527636;96;01.10.2019
"АО ""Классик Эконом Банк""";2070100;2145;2612680;3298;01.10.2019
"АО ""Кранбанк""";7008450;17140;7083110;2271;01.10.2019
"АО ""Кредит Европа Банк""";186582663;5299250;196345217;3311;01.10.2019
"АО ""Кредпромбанк""";1804790;2795;1927333;1165;01.10.2019
"АО ""Кросна-Банк""";2703099;80935;2784970;2607;01.10.2019
"АО ""Кубаньторгбанк""";6516681;45615;6664797;478;01.10.2019
"АО ""Кузнецкбизнесбанк""";5300443;170060;5665720;1158;01.10.2019
"АО ""МАЙКОПБАНК""";1454242;0;1455475;1136;01.10.2019
"АО ""МБ Банк""";73645161;528880;80881116;3396;01.10.2019
"АО ""МОСКОМБАНК""";4044900;35845;4361837;3172;01.10.2019
"АО ""МСП Банк""";67371710;72115;68157902;3340;01.10.2019
"АО ""МТИ Банк""";1761662;11260;1774909;1052;01.10.2019
"АО ""Мидзухо Банк (Москва)""";53099478;940810;54927120;3337;01.10.2019
"АО ""НВКбанк""";18401571;5540;19416027;931;01.10.2019
"АО ""НДБанк""";898429;48755;966691;2374;01.10.2019
"АО ""НК Банк""";23550678;433540;25312742;2755;01.10.2019
"АО ""НС Банк""";28597317;451550;29922226;3124;01.10.2019
"АО ""Народный банк""";8740371;2655;8764191;2249;01.10.2019
"АО ""Нефтепромбанк""";6623454;60320;6779459;2156;01.10.2019
"АО ""Нордеа Банк""";580398549;6441565;587503289;3016;01.10.2019
"АО ""ОРБАНК""";6346780;20930;6372771;937;01.10.2019
"АО ""ОТП Банк""";310212702;2320515;314033104;2766;01.10.2019
"АО ""ПЕРВОУРАЛЬСКБАНК""";3136618;1545;3187845;965;01.10.2019
"АО ""Первый Дортрансбанк""";2712280;4665;2805574;3271;01.10.2019
"АО ""Первый Инвестиционный Банк""";1725776;19050;1762580;604;01.10.2019
"АО ""ПроБанк""";3500893;66675;3661108;3296;01.10.2019
"АО ""РН Банк""";123060322;257715;127589732;170;01.10.2019
"АО ""РУНА-БАНК""";3529889;4320;3557896;3207;01.10.2019
"АО ""РФИ БАНК""";3195628;182310;3432226;3351;01.10.2019
"АО ""Райффайзенбанк""";4841972753;28281730;4918980314;3292;01.10.2019
"АО ""Россельхозбанк""";2725580304;49855590;2792695781;3349;01.10.2019
"АО ""Роял Кредит Банк""";6992276;14645;7375071;783;01.10.2019
"АО ""СЕВЗАПИНВЕСТПРОМБАНК""";905296;1925;956796;2152;01.10.2019
"АО ""СМБСР Банк""";63398597;845500;64992024;3494;01.10.2019
"АО ""СМП Банк""";508015204;11533865;531111742;3368;01.10.2019
"АО ""СЭБ Банк""";55109616;333725;55802948;3235;01.10.2019
"АО ""Севастопольский Морской банк""";5047501;16255;5171995;3528;01.10.2019
"АО ""Сити Инвест Банк""";28894442;175185;31581080;3194;01.10.2019
"АО ""Собинбанк""";8142686;19840;8677287;1317;01.10.2019
"АО ""Солид Банк""";11591498;22915;12063764;1329;01.10.2019
"АО ""Социнвестбанк""";20925314;2580;21660211;1132;01.10.2019
"АО ""ТАТСОЦБАНК""";11914970;38925;12884571;480;01.10.2019
"АО ""ТРОЙКА-Д БАНК""";10306437;37775;10630890;3431;01.10.2019
"АО ""ТЭМБР-БАНК""";8709195;73980;9135080;2764;01.10.2019
"АО ""Тексбанк""";1121901;2470;1124943;2756;01.10.2019
"АО ""Тинькофф Банк""";731351989;17956120;779590100;2673;01.10.2019
"АО ""Тойота Банк""";60210921;30535;61304706;3470;01.10.2019
"АО ""Тольяттихимбанк""";78411482;530355;79461230;2507;01.10.2019
"АО ""УРАЛПРОМБАНК""";5125387;59120;5192181;2964;01.10.2019
"АО ""Углеметбанк""";10872185;55495;10979943;2997;01.10.2019
"АО ""Ури Банк""";20725961;469845;21542868;3479;01.10.2019
"АО ""ФОНДСЕРВИСБАНК""";191194944;224375;192136922;2989;01.10.2019
"АО ""Экономбанк""";16359062;14290;18258579;1319;01.10.2019
"АО ""Эксперт Банк""";38054183;46245;38226416;2949;01.10.2019
"АО ""Эм-Ю-Эф-Джи Банк (Евразия)""";70845209;1074590;73315713;3465;01.10.2019
"АО АБ ""Капитал""";2044445;8385;2113664;575;01.10.2019
"АО АИКБ ""Енисейский объединенный банк""";4600111;29705;4646056;2645;01.10.2019
"АО АКБ ""Алеф-Банк""";31888603;222435;32983371;2119;01.10.2019
"АО АКБ ""МЕЖДУНАРОДНЫЙ ФИНАНСОВЫЙ КЛУБ""";109521220;2355935;112686405;2618;01.10.2019
"АО АКБ ""НОВИКОМБАНК""";361291717;4227380;372926584;2546;01.10.2019
"АО АКБ ""ЦентроКредит""";205556958;214300;215695601;121;01.10.2019
"АО АКБ ""ЭКСПРЕСС-ВОЛГА""";181539149;4669145;189266809;3085;01.10.2019
"АО АКИБ ""Почтобанк""";922173;1785;951100;1788;01.10.2019
"АО БАНК ""Ермак""";3154537;7595;3383706;1809;01.10.2019
"АО БАНК ""МОСКВА-СИТИ""";2702904;14990;2826775;3247;01.10.2019
"АО БАНК ""НБТ""";200407;2115;255526;1309;01.10.2019
"АО БАНК ""СНГБ""";159995146;1925430;169980023;588;01.10.2019
АО БАНК НБС;555413;0;567035;1949;01.10.2019
"АО Банк ""Венец""";7297743;17750;7756311;524;01.10.2019
"АО Банк ""ККБ""";42715288;154850;43011767;1087;01.10.2019
"АО Банк ""Национальный стандарт""";57355284;941700;59081868;3421;01.10.2019
"АО Банк ""Объединенный капитал""";54665669;2441180;57784476;2611;01.10.2019
"АО Банк ""Онего""";391603;220;411722;2484;01.10.2019
"АО Банк ""ПСКБ""";38964011;459080;40371671;2551;01.10.2019
"АО Банк ""Развитие-Столица""";24392673;308480;25229428;3013;01.10.2019
"АО Банк ""ТКПБ""";1557412;4390;1589816;1312;01.10.2019
АО Банк ЗЕНИТ Сочи;4009113;23225;4172921;232;01.10.2019
АО ВКАБАНК;1492311;2790;1511092;1027;01.10.2019
АО ЕАТПБанк;1296714;4600;1306924;1765;01.10.2019
"АО КБ ""АГРОПРОМКРЕДИТ""";26938726;159695;27410319;2880;01.10.2019
"АО КБ ""Ассоциация""";21464085;58080;21800441;732;01.10.2019
"АО КБ ""ВАКОБАНК""";885580;60;953338;1291;01.10.2019
"АО КБ ""ИНТЕРПРОМБАНК""";101557765;717010;103364350;3266;01.10.2019
"АО КБ ""ИС Банк""";18403819;138430;18549559;3175;01.10.2019
"АО КБ ""КОСМОС""";439728;3800;448400;2245;01.10.2019
"АО КБ ""Модульбанк""";46657433;524115;47602532;1927;01.10.2019
"АО КБ ""НИБ""";608355;7135;631369;2876;01.10.2019
"АО КБ ""Пойд?м!""";26022537;670;26967013;2534;01.10.2019
"АО КБ ""Приобье""";1747952;6175;1780563;537;01.10.2019
"АО КБ ""РУСНАРБАНК""";15910988;42620;16128068;3403;01.10.2019
"АО КБ ""Ситибанк""";1159035575;8804640;1194724957;2557;01.10.2019
"АО КБ ""Соколовский""";934794;6610;949669;2830;01.10.2019
"АО КБ ""Солидарность""";28082941;179695;29420410;554;01.10.2019
"АО КБ ""ФорБанк""";7907669;18620;8189552;2063;01.10.2019
"АО КБ ""Хлынов""";31634821;198475;32277879;254;01.10.2019
"АО КБ ""ЮНИСТРИМ""";15367495;1480050;16935252;3467;01.10.2019
"АО КИБ ""ЕВРОАЛЬЯНС""";3644632;10815;3968710;1781;01.10.2019
"АО МКБ ""ДОМ-БАНК""";1657528;3435;1688668;3209;01.10.2019
АО МС Банк Рус;14834148;4620;15238239;2789;01.10.2019
"АО НКБ ""СЛАВЯНБАНК""";304794;1140;314005;804;01.10.2019
"АО НКО ""МОСКЛИРИНГЦЕНТР""";13320648;0;13404126;3314;01.10.2019
"АО НКО ""Сетевая Расчетная Палата""";615788;2020;623849;3332;01.10.2019
"АО НКО ""Частный РКЦ""";7385;0;7634;3420;01.10.2019
АО НОКССБАНК;6032342;14195;6213369;3202;01.10.2019
"АО РНКО ""Нарат""";66008;0;71519;1902;01.10.2019
"АО РНКО ""Синергия""";638933;210;644879;2884;01.10.2019
"АО РНКО ""ХОЛМСК""";1095599;30875;1140103;503;01.10.2019
АО РОСЭКСИМБАНК;149062142;5695770;159868508;2790;01.10.2019
"АО УКБ ""Белгородсоцбанк""";7966032;20165;8372011;760;01.10.2019
АО ЮниКредит Банк;2163676841;55282375;2225615984;1;01.10.2019
"АО комбанк ""Арзамас""";1193848;110;1276594;1281;01.10.2019
Азия-Инвест Банк (АО);7060465;227995;7388005;3303;01.10.2019
АйСиБиСи Банк (АО);112512350;2460965;116178615;3475;01.10.2019
"БАНК ""АГОРА"" ООО";1134317;7650;1198232;3231;01.10.2019
"БАНК ""КУРГАН"" ПАО";1385415;4005;1480290;2568;01.10.2019
"БАНК ""МНХБ"" ПАО";9574889;28480;9935653;1411;01.10.2019
"БАНК ""МСКБ"" (АО)";1008959;125;1061663;2722;01.10.2019
"БАНК ""НЕЙВА"" ООО";14431344;73105;14618653;1293;01.10.2019
ББР Банк (АО);119596414;2130150;123108649;2929;01.10.2019
"Банк ""ВБРР"" (АО)";760724136;16697580;790500257;3287;01.10.2019
"Банк ""Возрождение"" (ПАО)";190541374;1115085;196201360;1439;01.10.2019
"Банк ""Вятич"" (ПАО)";400367;480;403241;2796;01.10.2019
"Банк ""ИТУРУП"" (ООО)";4274566;19070;4360480;2390;01.10.2019
"Банк ""Йошкар-Ола"" (ПАО)";1364507;1450;1375097;2802;01.10.2019
"Банк ""КУБ"" (АО)";26451398;367485;27235456;2584;01.10.2019
"Банк ""Кузнецкий мост"" АО";2867354;2905;3368886;2254;01.10.2019
"Банк ""Левобережный"" (ПАО)";53101165;233965;55670073;1343;01.10.2019
"Банк ""Нальчик"" ООО";1545930;0;1549947;695;01.10.2019
"Банк ""Прайм Финанс"" (АО)";3080506;25190;3161541;2758;01.10.2019
"Банк ""Прохладный"" ООО";2157720;560;2249240;874;01.10.2019
"Банк ""РЕСО Кредит"" (АО)";9487257;198325;10363699;3450;01.10.2019
"Банк ""СЕРВИС РЕЗЕРВ"" (АО)";1556316;3975;1565947;2034;01.10.2019
"Банк ""СКС"" (ООО)";1605185;4445;1618386;3224;01.10.2019
"Банк ""Снежинский"" АО";16093364;5270;16480038;1376;01.10.2019
"Банк ""ТРАСТ"" (ПАО)";1839485785;13133980;1865200115;3279;01.10.2019
"Банк ""Таврический"" (ПАО)";183032684;4484035;191730518;2304;01.10.2019
Банк ВТБ (ПАО);24517803930;325548815;25003760122;1000;01.10.2019
Банк ГПБ (АО);8875678062;171349310;9104536856;354;01.10.2019
Банк Глобус (АО);2006111;15715;2028872;2438;01.10.2019
Банк ИПБ (АО);78938324;414965;80397195;600;01.10.2019
Банк НФК (АО);10400011;34065;10591995;3437;01.10.2019
Банк ПТБ (ООО);9403193;96170;9606129;2638;01.10.2019
Банк Пермь (АО);1519532;3865;1572844;875;01.10.2019
Банк РМП (ПАО);2274594;15230;2318338;2574;01.10.2019
Банк СОЮЗ (АО);87192404;583325;91064294;2307;01.10.2019
Банкхаус Эрбе (АО);7453998;115725;7844160;1717;01.10.2019
Джей энд Ти Банк (АО);24459792;566335;25457983;3061;01.10.2019
"ИКБР ""ЯРИНТЕРБАНК"" (ООО)";2114319;20495;2160819;2564;01.10.2019
ИНГ БАНК (ЕВРАЗИЯ) АО;648774457;5375265;665824078;2495;01.10.2019
"Инвестиционный Банк ""ВЕСТА"" (ООО)";3824651;21895;4054327;2368;01.10.2019
"КБ ""АКРОПОЛЬ"" АО";872628;11005;902316;3027;01.10.2019
"КБ ""Альтернатива"" (ООО)";576315;0;596994;3452;01.10.2019
"КБ ""Байкалкредобанк"" (ПАО)";783181;1140;858808;2990;01.10.2019
"КБ ""Гарант-Инвест"" (АО)";26094395;427090;26833531;2576;01.10.2019
"КБ ""Геобанк"" (ООО)";2204408;73830;2278880;2027;01.10.2019
"КБ ""Дж.П. Морган Банк Интернешнл"" (ООО)";171374904;2950800;174376839;2629;01.10.2019
"КБ ""Долинск"" (АО)";3207595;16345;3322881;857;01.10.2019
"КБ ""Континенталь"" ООО";522865;0;533812;3184;01.10.2019
"КБ ""Крокус-Банк"" (ООО)";5058376;23355;5151927;2682;01.10.2019
"КБ ""Кубань Кредит"" ООО";89030980;223010;89878283;2518;01.10.2019
"КБ ""ЛОКО-Банк"" (АО)";125927116;1434065;133812805;2707;01.10.2019
"КБ ""МИА"" (АО)";27799252;306945;28445781;3344;01.10.2019
"КБ ""МКБ"" (ПАО)";4042366;59665;4482383;2524;01.10.2019
"КБ ""Максима"" (ООО)";1268597;7835;1286350;3379;01.10.2019
"КБ ""Москоммерцбанк"" (АО)";61880098;4947860;68192908;3365;01.10.2019
"КБ ""НМБ"" ООО";6516416;50995;6582146;2932;01.10.2019
"КБ ""Новый век"" (ООО)";4831871;8955;4920426;3417;01.10.2019
"КБ ""ОБР"" (ООО)";483567;2245;492190;1016;01.10.2019
"КБ ""РБА"" (ООО)";3357268;46720;4629457;3413;01.10.2019
"КБ ""Ренессанс Кредит"" (ООО)";255317697;1254225;263822931;3354;01.10.2019
"КБ ""Рента-Банк"" АО";407292;100;424697;3095;01.10.2019
"КБ ""СИСТЕМА"" ООО";5883393;19540;6497036;2846;01.10.2019
"КБ ""ССтБ"" (ООО)";6691934;9730;6841916;3397;01.10.2019
"КБ ""СТРОЙЛЕСБАНК"" (ООО)";30152640;6485;30593244;2995;01.10.2019
"КБ ""Спутник"" (ПАО)";863082;285;879380;1071;01.10.2019
"КБ ""ЭНЕРГОТРАНСБАНК"" (АО)";82925574;402585;88687545;1307;01.10.2019
КИВИ Банк (АО);116081800;1998545;122902565;2241;01.10.2019
"Коммерческий банк ""ВРБ"" (ООО)";16214083;3405;16272454;3499;01.10.2019
Креди Агриколь КИБ АО;2827372635;1816780;2829317758;1680;01.10.2019
"МБО ""ОРГБАНК"" (ООО)";11404945;235320;11805307;3312;01.10.2019
"МКБ ""Дон-Тексбанк"" ООО";288271;0;289736;1818;01.10.2019
"МКИБ ""РОССИТА-БАНК"" ООО";11014980;58620;11199106;3257;01.10.2019
МОРСКОЙ БАНК (АО);22852933;331075;23508564;77;01.10.2019
"НКО ""21 ВЕК"" (ООО)";9576;0;13869;3309;01.10.2019
"НКО ""ЕРП"" (ООО)";616312;0;622449;384;01.10.2019
"НКО ""ИНКАХРАН"" (АО)";16170525;15835;16277771;3454;01.10.2019
"НКО ""МКС"" (ООО)";233378;185;242448;3242;01.10.2019
"НКО ""МОНЕТА"" (ООО)";6965982;40230;7070101;3508;01.10.2019
"НКО ""ОРС"" (АО)";137880;5790;156000;3342;01.10.2019
"НКО ""Перспектива"" (ООО)";693980;0;698032;3532;01.10.2019
"НКО ""Платежи и Расчеты"" (АО)";1508706;0;1514582;3324;01.10.2019
"НКО ""Премиум"" (ООО)";2868195;0;2980138;3514;01.10.2019
"НКО ""РКЦ ДВ"" (АО)";124755;0;153846;3318;01.10.2019
"НКО ""Русское финансовое общество"" (ООО)";1082175;11030;1093767;3427;01.10.2019
"НКО ""ФИНЧЕР"" (ООО)";5243382;0;5244060;3486;01.10.2019
"НКО ""ЭПС"" (ООО)";5367767;0;5435421;3509;01.10.2019
НКО АО НРД;168048086;524455;170619992;3294;01.10.2019
НКО АО ПРЦ;158156;3360;165092;3306;01.10.2019
НКО Красноярский Краевой Расчетный Центр ООО;638587;0;665702;3483;01.10.2019
НКО НКЦ (АО);3937365467;49636430;4004590380;3466;01.10.2019
"ОАО ""ЮГ-Инвестбанк""";8779736;46190;9004645;2772;01.10.2019
"ОИКБ ""Русь"" (ООО)";5104292;6570;5118370;704;01.10.2019
"ООО ""АЛТЫНБАНК""";688176;100;722563;2070;01.10.2019
"ООО ""АТБ"" Банк";88099465;155030;89806611;2776;01.10.2019
"ООО ""АвтоКредитБанк""";3016248;0;3084802;1973;01.10.2019
"ООО ""Америкэн Экспресс Банк""";1813721;20990;1904920;3460;01.10.2019
"ООО ""Банк ""Майский""";2461347;260;2512662;1673;01.10.2019
"ООО ""Банк БКФ""";11601167;114510;12163468;2684;01.10.2019
"ООО ""Банк ПСА Финанс РУС""";21246377;0;21354970;3481;01.10.2019
"ООО ""Банк РСИ""";434023;3450;488224;3415;01.10.2019
"ООО ""Банк Стандарт-Кредит""";974064;21535;1006287;841;01.10.2019
"ООО ""Голдман Сакс Банк""";76655502;3093395;80237918;3490;01.10.2019
"ООО ""Дойче Банк""";173680525;1301045;178935017;3328;01.10.2019
"ООО ""ЖИВАГО БАНК""";2402667;1695;2438370;2065;01.10.2019
"ООО ""ЗЕМКОМБАНК""";3455934;11145;3649643;574;01.10.2019
"ООО ""Земский банк""";4858563;12805;4932370;2900;01.10.2019
"ООО ""Икано Банк""";2786698;755;2809888;3519;01.10.2019
"ООО ""Инбанк""";25106359;605575;26072752;1829;01.10.2019
"ООО ""КЭБ ЭйчЭнБи Банк""";10692921;325755;11118278;3525;01.10.2019
"ООО ""Камкомбанк""";5857727;0;5926237;438;01.10.2019
"ООО ""Костромаселькомбанк""";2138079;2560;2153202;1115;01.10.2019
"ООО ""Крона-Банк""";1655492;335;1992235;2499;01.10.2019
"ООО ""Морган Стэнли Банк""";10730285;0;10879562;3456;01.10.2019
"ООО ""НКО ""Вестерн Юнион ДП Восток""";5305369;4485815;10017979;2726;01.10.2019
"ООО ""НКО ""Глобал Эксчейндж""";276480;0;323459;3533;01.10.2019
"ООО ""НОВОКИБ""";1034012;320;1075521;1747;01.10.2019
"ООО ""ОНЕЙ БАНК""";1796439;1250;1802041;3516;01.10.2019
"ООО ""Осколбанк""";819225;0;890949;1050;01.10.2019
"ООО ""Первый Клиентский Банк""";6991295;33370;7208288;3436;01.10.2019
"ООО ""Примтеркомбанк""";1331906;13890;1354629;21;01.10.2019
"ООО ""ПроКоммерцБанк""";1131261;2020;1134244;2996;01.10.2019
"ООО ""Промсельхозбанк""";2502699;20020;2610289;538;01.10.2019
"ООО ""РАМ Банк""";7504237;5420;7991189;3480;01.10.2019
"ООО ""РНКО ""ВЕСТ""";61058;0;88318;2605;01.10.2019
"ООО ""РУСБС""";825385;600;859903;779;01.10.2019
"ООО ""Русфинанс Банк""";86627209;59660;87584011;1792;01.10.2019
"ООО ""СПЕЦСТРОЙБАНК""";3963865;32300;4135812;236;01.10.2019
"ООО ""Унифондбанк""";2509352;455;2917622;3416;01.10.2019
"ООО ""ФФИН Банк""";5525125;46875;5687653;1143;01.10.2019
"ООО ""Фольксваген Банк РУС""";19268662;3075;22451841;3500;01.10.2019
"ООО ""ХКФ Банк""";305951421;7343770;328143416;316;01.10.2019
"ООО ""Хакасский муниципальный банк""";8065163;16035;8369066;1049;01.10.2019
"ООО ""Чайна Констракшн Банк""";13662232;421615;14298793;3515;01.10.2019
"ООО ""Чайнасельхозбанк""";11636328;400415;12264893;3529;01.10.2019
"ООО ""Эйч-эс-би-си Банк (РР)""";211227197;1261740;213705168;3290;01.10.2019
"ООО ""Экспобанк""";264118914;2868460;269493593;2998;01.10.2019
"ООО ""Ю Би Эс Банк""";25893820;121395;26371430;3463;01.10.2019
"ООО ""ЮМК банк""";2856024;690;2913834;3495;01.10.2019
"ООО ""банк Раунд""";14291131;337455;14780987;2506;01.10.2019
"ООО Банк ""Аверс""";149591210;0;151356847;415;01.10.2019
"ООО Банк ""Саратов""";979787;550;1012025;330;01.10.2019
ООО Банк Оранжевый;6314099;22680;6379776;1659;01.10.2019
"ООО КБ ""АРЕСБАНК""";64810558;965750;65947965;2914;01.10.2019
"ООО КБ ""Алтайкапиталбанк""";4592405;2005;4765929;2659;01.10.2019
"ООО КБ ""Альба Альянс""";5015737;44980;5102201;2593;01.10.2019
"ООО КБ ""ВНЕШФИНБАНК""";10815528;85050;11287497;3173;01.10.2019
"ООО КБ ""Взаимодействие""";669450;12370;686553;1704;01.10.2019
"ООО КБ ""ГТ банк""";7374138;5830;7396610;665;01.10.2019
"ООО КБ ""Гефест""";599460;0;669160;1046;01.10.2019
"ООО КБ ""Дружба""";561580;0;600769;990;01.10.2019
"ООО КБ ""Евроазиатский Инвестиционный Банк""";1287998;10630;1346808;2897;01.10.2019
"ООО КБ ""Жилкредит""";426812;1935;554126;1736;01.10.2019
"ООО КБ ""КОЛЬЦО УРАЛА""";30306667;393845;32051659;65;01.10.2019
"ООО КБ ""Калуга""";1142048;4445;1163524;1151;01.10.2019
